listing_id,id,date,reviewer_id,reviewer_name,comments,year_month,sentiment,length,reviewer_freq,days_since_last,is_anomaly,anomaly_label,sentiment_class
78731,547284514,2019-10-14,74147169,Robert,Expect a stay as states and then some! You won’t be disappointed.,2019-10,-0.5255,65,1,0.0,-1,Fake,Weak Negative
83643,155206292,2017-05-27,117307128,Linda,Wundervolle Einrichtung und tolle Lage. Sehr detailverliebte Dekoration und gemütliche Atmosphäre. Die Gartendusche ist bei den warmen Temperaturen ein absolutes Plus. Gastgeberin ist sehr liebenswürdig und äußerst hilfsbereit. Nur zu empfehlen! ,2017-05,-0.636,246,1,0.0,-1,Fake,Strong Negative
89475,502324963,2019-08-04,277234692,Adam,"You can expect a good location, the house is right in the middle of downtown Austin and lake Travis. So traveling anywhere was easy. However do not expect to be staying in a clean house. We did not enjoy our stay there due to the house being dirty and has an awful smell that just wouldn’t leave. Most everything you touch in the kitchen is sticky and most dishes had stains on them. The bathrooms were a disaster, and the floors made you feel gross walking on them.",2019-08,-0.814,466,1,0.0,-1,Fake,Strong Negative
90898,579031371166905045,2022-03-09,249830488,Dale,House is the poor repair. It is he home with a lot of his personal stuff throughout the house,2022-03,-0.4767,93,1,0.0,-1,Fake,Weak Negative
104386,28158754,2015-03-19,24255925,Sophie,"La petite maison jaune de Mary est un petit coin de paradis. C’est très propre, fonctionnel et bien décoré. Les lits sont confortables et les draps sentent bon. La maison est plus belle et plus grande que sur les photos. La cour arrière est vraiment très agréable. Tout est pensé pour que le visiteur se sente chez lui. Il y avait même des fruits, du café, du jus et des muffins à notre arrivée! C’est un peu loin du centre-ville à pied (45 min), mais il y a un a bus à quelques pas de la maison qui s’y rend en 10 minutes. C’est un quartier calme, sécuritaire et vraiment très agréable. J’y retournerai ! Merci Mary, tout était parfait!",2015-03,-0.4359,637,1,0.0,-1,Fake,Weak Negative
104386,63083311,2016-02-20,16609195,Emmanuel,"Absolument parfait !<br/>Mary est une hôtesse attentionnée et discrète. L'accès est très facile, grâce au code d'entrée, et on se sent immédiatement comme chez soi dans ce joli bungalow austinien et sa terrasse à la texane.<br/>L'endroit est idéal pour une immersion rapide dans la vie alternative d'Austin : proximité de SoCo et découverte des très nombreux lieux branchés de la 1st Street (très bien indiqués par Mary).<br/>C'est vraiment une excellente façon de profiter de cette ville vivante et séduisante.<br/>Après avoir décidé de louer une voiture pour la semaine (Texas oblige), nous avons pu avoir facilement accès aux divers lieux, culturels ou naturels, de la région. <br/>Dallas, San Antonio, Houston sont ainsi à portée de main.<br/>",2016-02,-0.1759,753,1,0.0,-1,Fake,Weak Negative
104386,423611733,2019-03-14,8400950,Marcelo,My second time at Mary's home and the experience couldn't be better. Awesome place and host!,2019-03,-0.7177,92,2,362.0,-1,Fake,Strong Negative
104394,889399,2012-01-29,1637725,Nicea,"Jill is a very friendly and kind lady.  She couldn't be nicer. The room is spacious but, along with the bathroom it was very dirty and smelly.  There was moisture damage on the walls and ceiling, the room floods when it rains, and the toilet cloggs.  In general her place is neither apt, nor appropriate, for guests under any circumstances because it really has so many problems.  ",2012-01,-0.8929,381,1,0.0,-1,Fake,Strong Negative
113779,544215704,2019-10-09,211951581,Ashley,"Pete was communicative and reliable. <br/><br/>However, during my stay my car was broken into while parked on the airbnb property. Unfortunately there was no additional secruity measures, such as surveillance cameras, on the property that would have aided in protecting my property. The car was directly parked in front of the Airbnb and within view of my windows. I also had items stolen from the front mail box directly located by the front door. <br/><br/>Another uncomfortable discovery, that was only caught when my friend happened to be walking her dog, was that people walking by my unit could see into my house through the thin curtains in the living room. They could also see my silhouette through the thin blinds located throughout the house. This provided a lack of privacy and made me feel unsafe.",2019-10,-0.891,809,1,0.0,-1,Fake,Strong Negative
145210,435815606,2019-04-11,131094027,Kyle,"Dan’s place is in a great location and is absolutely immaculate. Very modern feel and comfy bed. The area is quiet, but within walking distance to shopping and entertainment.<br/>A few windows do not have window coverings. They are high enough where it is not a privacy issue in the sleeping area, but if you need complete darkness to sleep, it could be tough.",2019-04,-0.1779,360,1,0.0,-1,Fake,Weak Negative
174828,141938946,2017-04-05,3240202,Brian,Clean and well decorated. Will need a car to get places - no Uber in Austin :( ,2017-04,-0.144,79,1,0.0,1,Genuine,Weak Negative
202187,279749072,2018-06-21,21747373,Christina,"After a sad week dealing with the death and funeral of my grandmother in San Antonio, I found myself browsing AirBnBs in downtown Austin for a quick respite before returning home to Dallas. John’s place was the perfect spot to walk to all my favorite places on SoCo and Zilker.",2018-06,-0.4215,277,1,0.0,-1,Fake,Weak Negative
202187,466677691546705839,2021-10-05,419921111,Jamie,"Beware!  I booked his room for business travel over a month in advance and then my company asked me to cancel on Sept 20, and come on a later date.  (This was still 14 days before my original trip/ reservation of Oct 3) and I cancelled with airbnb on Set 20 and also wrote to the owner personally and cancelled with him on that date. I did so all online, in the airbnb system and I received a notice from AirBNB of only getting a half credit.  Then, on the date of my original travel plan I get a notice that my reservation was not cancelled with Airbnb online for some reason and the owner collects all fees, cleaning and all as if I stayed there!!!  He is NOT someone to trust!  He was notified IMMEDIATELY <AS WAS AIRBNB<& no one seems to care that I have a print to file pdf copy of the AirBNB message showing that I would get a credit!!  There is no Help for AIR BNB and the owner states he could not rent his room?  Although, I communicated back and forth with him , in the airbnb system on Sept 19-20 telling him that I was cancelling and the reason!  Total  THIEF!!!",2021-10,-0.7017,1074,1,0.0,-1,Fake,Strong Negative
227372,810177478506866895,2023-01-22,210380741,Zoe,"If you are looking to spend almost $4000 on a dirty place then this is where you should stay. The location is great but the interior is not. Don’t let the photos deceive you the last time they probably cleaned this rental was in 2019. The master bedroom was never clean dust bunnies were all over the fixtures above my head the sheets contained the previous renters, body hair and crumbs. The shower had not been cleaned and had soap scum all over the handles and the walls, there was no toilet paper and no spares within the rental and even if you had toilet paper, there’s nowhere to put it because the toilet paper holder was ripped off the wall. All the buttons for the toilets were broken so we had to use our acrylic nails to try to rig a way to flush the toilets , dirty dishes and trash filled the cupboards. Worst host offered a partial refund and then when we try to communicate about it, they refuse to respond on numerous occasions.",2023-01,-0.9828,944,1,0.0,-1,Fake,Strong Negative
238657,556891050,2019-10-30,212622,Amy,Meh. Not worth the price. Mediocre not special in any way,2019-10,-0.498,57,1,0.0,-1,Fake,Weak Negative
240541,14296686,2014-06-16,2733378,Mike,"Didn't meet Elizabeth, but she was very communicative via text. Birdhouse was easy to find and Elizabeth left us a key to get in. <br/><br/>Pros: convenient to East Austin; Mr. Natural only a couple blocks away; plenty of Car2Gos in neighborhood; Oskar Blues in fridge; small space decent for our only need - somewhere to sleep on East side for two nights.<br/><br/>Cons: Didn't like entering through alley - especially at night and after a massive rainfall that made it a bit messy; looks more quaint in photos - could use more interior decor; only one bath towel for two people; $25 cleaning fee seemed a bit much for such a small place in which we only slept - not best deal for $90 a night total.<br/><br/>In the end, it served it's purpose and it proved to be very convenient for a short visit back to our former home town, which is changing so much.",2014-06,-0.6924,861,1,0.0,-1,Fake,Strong Negative
240541,14583493,2014-06-22,11104046,Liz,"It was totally cute and perfect for us. It is super tiny, especially the bathroom, but I was expecting that and we didn't mind the intimate experience for our anniversary celebration. The hosting was just what we needed and no more. Great overall!",2014-06,-0.4393,247,1,0.0,-1,Fake,Weak Negative
240541,26256893,2015-02-08,25253051,Ruth,"We booked 4 nights in the birdhouse and would have to describe it as an average experience. <br/><br/>Elizabeth is a responsive and kind host who was available whenever we needed her. The location is not far from 6th street nightlife. <br/><br/>However we didn't feel that in comparison to other air BnB of the same cost that it provided the same standard / experience. The futon mattress is lumpy and uncomfortable and the white paper blinds on window's and patio doors were stuck with tape and didn't cover them entirely, so it was bright and not very private. <br/><br/>It has good potential but to us it felt a bit neglected.",2015-02,-0.2307,629,1,0.0,-1,Fake,Weak Negative
240541,35225355,2015-06-16,30442569,Katie,"Booked to stay here for a long weekend.  When we arrived the first night, turned the lights on and a cockroach ran across the bed.  The inside looked like it had not been cleaned thoroughly for some time.  Including broken boards under the futon, the general condition of the Birdhouse was misrepresented by the pictures.  Lastly, the “curtains” on the doors/windows were thin paper taped on with scotch tape, so we didn't feel like there was a ton of privacy.<br/><br/>Unfortunately, after the first night we packed up and left.  Elizabeth was very apologetic and understanding of the situation and refunded us immediately. She was very easy to communicate with throughout the experience, but we weren’t happy with the condition of the house.  Only writing this review to warn others as we researched extensively and didn’t find anything negative hinting at the experience we had.<br/>",2015-06,-0.0922,889,1,0.0,-1,Fake,Weak Negative
240541,71108084,2016-04-23,18294009,Kjerstin,"I don't love leaving negative reviews, but this was disappointing at best. The neighborhood is so Austin kooky, and the studio itself, though pretty rustic, has a cool funky vibe. But the black mold we found under the toilet seat, the grime we wiped out of the shower, the two-inch roach we killed, and the extraordinarily uncomfortable bed made us feel like we'd been swindled. I wouldn't let a friend stay there for free in its present state.",2016-04,-0.1722,444,1,0.0,-1,Fake,Weak Negative
240541,246916635,2018-03-26,10437130,Tanya,Exactly as described. Nothing fancy but excellent price!,2018-03,-0.6473,56,1,0.0,-1,Fake,Strong Negative
240541,321123067,2018-09-09,212266383,Audra,"it was in a very nice neighborhood, but you have to park in front of their house and had to walk around the block to get into the back yard to enter the house.",2018-09,-0.4221,159,1,0.0,-1,Fake,Weak Negative
240541,400000012,2019-01-10,4752524,Meg,"This is a rustic place in a great location for a solo traveler.  Think rustic and you’ll be OK.  Winter is not the best time to book this since there is no insulation and the small heater couldn’t keep up. Also,  a very small water heater so shower fast.",2019-01,-0.12,254,1,0.0,1,Genuine,Weak Negative
240541,527808419,2019-09-11,130637501,Troy,"The lowest price you’ll find anywhere. A couple small nuances, that’s all. Worth it if you’re on a budget.",2019-09,-0.1779,106,2,0.0,1,Genuine,Weak Negative
240541,529371432,2019-09-14,135107333,Marge,I would not really recommend this place.  Looks different in the picture than  it actually is.,2019-09,-0.3241,94,1,0.0,1,Genuine,Weak Negative
240541,563943008,2019-11-14,73574541,Casey,"The Birdhouse is made out of what seemed to be particle board & tin. A few major issues we experienced: 30 degree weather with no central heat (there was a coffee maker size heater that kept turning off), leaking water on the floor near the sink (mold / musty smell), musty sheets (didn’t smell like they had been washed), stains of old liquid in the trash can bag and a cockroach wing petal on the bedside rug. All in all, you get what you pay for.",2019-11,-0.0258,449,1,0.0,1,Genuine,Weak Negative
240541,603734710,2020-02-09,31111048,Cameron,"It's a small casita--great place to crash if you have stuff to do in Austin. Walking distance from some cool shops and restaurants. Hosts were understanding about me arriving slightly earlier than 5 pm check-in.<br/><br/>My one gripe is that the casita directly abuts the family's backyard, and the door has a big glass window covered by a semi-sheer curtain. So there is a lot less privacy than one might expect from staying in a separate building from the main house.",2020-02,-0.1027,469,2,0.0,-1,Fake,Weak Negative
240541,656124222,2020-08-24,45922472,Anne,"Good price point, but a few things to be aware of.  If you close the bathroom pocket-door, your knees hit the door if on the toilet, so the door has to remain open.  Using the sink for face-washing was challenging, with the design and obstacles.  Walking in the alley at night alone does not feel safe at all.  That's the only way to access the unit.  Finally, there is 1 blackout curtain and 1 sheer curtain.  A prior guest posted about lack of privacy and the host replied that you can push one to the side so the other type of curtain takes over.  The curtains don't fully cover the doors even when you try to expand them.",2020-08,-0.7318,625,1,0.0,-1,Fake,Strong Negative
240541,665118489,2020-09-17,359757960,Collette,Very cozy and everything I needed. It was a bit inconvenient to have to park so distanced but its to be expected with such a set-up.,2020-09,-0.1779,132,1,0.0,1,Genuine,Weak Negative
240541,723076569,2021-01-09,83211077,Zaina,comfy n private. freezing at night but came with heater. lots of amenities,2021-01,-0.0516,74,14,0.0,-1,Fake,Weak Negative
240541,761543260,2021-05-23,29413993,Paul,"We were excited to stay in a small house, but found it inconvenient for two people. We did not have use of the hammock pictured in the overview. After a rain, the path that led to the house was quite muddy and it was difficult to keep things clean. It is reasonably priced and close to downtown and the lake. We would not stay here again.",2021-05,-0.2732,338,1,0.0,-1,Fake,Weak Negative
240541,583304486153447484,2022-03-15,303335474,Cameron,"The birdhouse was a great place to stay! As a solo female traveler, I am always skeptical about what I am getting myself into but I don’t have anything bad to say about my experience here. I personally didn’t walk around the neighborhood too much so I can’t speak on that side, but I didn’t ever feel sketched out during my stay.",2022-03,-0.63,329,1,0.0,-1,Fake,Strong Negative
240541,631900698695720556,2022-05-21,204561571,Regina,"The host was quick to reply and<br/>answered all my questions. I was<br/>very disappointed at how outdated<br/>the place is. The picture of the<br/>outside is not true at all. There's no<br/>green grass in the backyard but<br/>there are 2 broken cars in the<br/>backyard. The whole place was an<br/>horrible not to mention how the<br/>place smells. I was not sure if it was<br/>the beddings or the curtains. I'm<br/>glad I brought my sheets, pillow and<br/>blanket. This is the worst Air bnb.<br/>experience I have in Austin.<br/>I really tired to sleep but I am so<br/>sorry, I had to leave real early. The<br/>smell of the place was horrible and<br/>not to mention the mosquitoes<br/>attacked me and the kids helping<br/>me with my stuff. The alley is a dirt<br/>road guys!! I paid $94 total for a<br/>night just few dollars more my<br/>daughter got me into a clean hotel<br/>by the Airport<br/>Please update the outside pictures",2022-05,-0.8996,931,1,0.0,-1,Fake,Strong Negative
248515,547151194365291229,2022-01-24,9898264,Cassidy,"This is an typical east side home built in the 50s. Home is very old thus drafty when its cold. Mattresses, pillows and bedding were really low quality and uncomfortable. Rest of the home has good finish out. Also wifi was very weak and spotty.",2022-01,-0.647,244,1,0.0,-1,Fake,Strong Negative
271052,733316609,2021-02-21,77876608,Jillian,Kelsey was great and accommodating when we needed a rental last minute due to the bad weather in Austin. Can't thank her enough!,2021-02,-0.2028,128,1,0.0,1,Genuine,Weak Negative
282342,627479213,2020-06-02,41263214,Dena,"Run down and older place, serviceable but not much else. This condo has not been updated and is full of a bunch of broken furniture. The rung on the stool will pop out when you try to put your feet on it. The table leg is held together by Saran Wrap. The couch is darned. The towels so threadbare that they leave fuzz all over your face when you try to dry it. There’s stuff everywhere - bird statues, hanging plaques, prayers hung on the wall, just dusty old crap that you have to constantly move and keep clean. <br/><br/>The owner herself admitted to me in a text that they hadn’t bought anything new for the place in years. The host was another problem. She texted constantly. On my second day she started texting asking me to commit to staying longer. I told her I didn’t know my plans (true) and it was too soon for me to make a decision. She kept texting and then, on my last day, tried to guilt trip me for not staying - claiming they’d turned down other renters because they’d thought I’d stay (even though I have texts explicitly telling her to do ahead and rent to someone else because I didn’t know what I was doing !). She also tried to get me to sign another lease and told me if I did stay we could go outside the air bnb platform. She made me very uncomfortable. <br/><br/>The grass in the backyard is gross, prickly and crabgrass. So you won’t enjoy the backyard space. The area isn’t walkable, so not great if you bring a dog.<br/><br/>Speaking of dogs...they allowed them but told me they’d never had them before. The host was clearly uncomfortable having one in the condo. On the last day she insisted on coming for a walk through. I warned her that my dog was still a puppy and might react to a stranger in her place. She said fine. <br/><br/>After I left and after she said everything was fine on the walk through, she texted that she’d found a small puddle of dog pee. I said that my dog probably peed a little on the floor when the owner came in because she was scared and apologized for not catching it. She tried to charge me $100 for clean up. <br/><br/>She also tried to claim that a pee stain on the mattress pad was from my stay and charge me $100 for that. But I’d stripped the bed and washed all the sheets for her before moving out, she saw the mattress pad on her walk through and had no issue with it! In short, because she was upset with me for not staying I feel like she tried whatever excuse she could to get more money out of me. <br/><br/>It sucks because this was my first time using Air BnB and id been really nervous after hearing bad stories about it, and this experience wasn’t great. I’d even paid out of my own pocket $150 to have it professionally cleaned before I left (they never cleaned it while I was there) because I was worried about having issues with the host. <br/><br/>Poor location (which the host discloses in the listing), annoying host who will text you constantly. Run down, broken furniture, over priced.",2020-06,-0.9824,2969,2,0.0,-1,Fake,Strong Negative
294708,694163746675349814,2022-08-15,54557959,Shelbie,Pictures are accurate and Dallas was flexible. Unfortunately we did not have access to the pool.,2022-08,-0.128,96,1,0.0,1,Genuine,Weak Negative
295275,72038841,2016-04-30,23543343,Rick,"Joseph is committed to client service. He was always very cordial and followed up in timely during rental process and throughout our month long stay.  The couple of repairs needed during our stay were immediately addressed and fixed.   The location is very convenient to downtown by taking 1st Street and avoiding all the highway traffic.  The house is very spacious, large tiled bathrooms with a backyard patio for outside dining. ",2016-04,-0.0772,432,1,0.0,1,Genuine,Weak Negative
300574,3032331,2012-12-05,4161109,Dennis,"If you think crumbling sheetrock, questionable electric wiring, dirty pans in the cupboard, dust and greasy finger marks everywhere, used bars of handsoap in a dish by the sink,  etc. add up to ""groovy and hip""  then this place is for you. <br/>Staying for 5 nights, I asked for some clean towels, and a sheet that would actually FIT the bed; but Veronica balked at complying with these and other simple requests. Since I had booked for 5 nights, and the cancellation policy was ""strict "",  I decided to tough it out. Unfortunately, it  got from bad to worse.<br/> There was a dead possum in the yard the next morning, and Veronica placed it in the garbage can outside the front door of the loft. After a couple of days the stench was so bad you had to hold your nose going in and out of the place, and couldn't open any windows because of  the awful smell just outside the front door.<br/>If your looking for a clean, habitable place with an accomodating host, pass this one by.",2012-12,-0.9853,982,1,0.0,-1,Fake,Strong Negative
300574,152065886,2017-05-14,29234776,April,"Spiral staircase gave us a little trouble. It takes some getting used to. Go slow, and use the handrail and you will be fine.<br/><br/>There is no privacy in the bathroom. There is a gap between the wall and ceiling, so you can hear everything if you are in the loft area. Only way to get some privacy is for everyone else to be downstairs.<br/><br/>There were only 2 of us, and we are old friends, so no big deal. ",2017-05,-0.5225,415,1,0.0,-1,Fake,Weak Negative
304808,207996317,2017-10-30,145254440,Yousif,"Chris is very fast when it comes to not only responses, but problems as well. We had a problem with the wifi and is was fixed in an instantaneous rate. It's a nice little room too.",2017-10,-0.1901,180,1,0.0,1,Genuine,Weak Negative
304808,254390429,2018-04-16,170465831,Douglas,Chris is very friendly and communicated frequently to insure all was OK.  Unfortunately my responses to Chris would not go through because his system would not accept SMS communications (iphone).  Did not have a computer with me so had to knock on his door to communicate.  Something that should be changed for the future.,2018-04,-0.0235,322,1,0.0,1,Genuine,Weak Negative
304866,8391257,2013-10-28,5405941,Rachael,"My stay at Jim O's place count haven't been better.   My boyfriend and I  stayed in austin over the weekend and my only regret is that I couldn't spend more time at the rv, exploring the lands and visiting with JIm O. Can't wait to be back.",2013-10,-0.6377,240,1,0.0,-1,Fake,Strong Negative
317148,425607006,2019-03-18,119705973,Steven,This is a beautiful bungalow that IS Austin ( from the POV of a new yorker). There is character in every detail of the house. Nothing spared. Great natural light and outdoor furniture and yard too!,2019-03,-0.2013,197,1,0.0,1,Genuine,Weak Negative
319759,695620395683982629,2022-08-17,227563009,Patrick,Look no further! This is the property you want to stay at and forget about your problems. The night skyline is to die for. Truly shocked my party.,2022-08,-0.6476,146,1,0.0,-1,Fake,Strong Negative
319759,834170080825779131,2023-02-24,281855236,Nicole,The place it’s self was nice and was decorated well for the bachelorette party. Kristen was very responsive and let us check in early! Lots of sleeping spots for everyone. Downstairs with the bunk beds was a little tight. Lighting was not great in bathrooms and rooms. Location was convenient for all restaurants and bar but it’s not a safe area. Our car got the windows smashed while in the reserved parking spot. Kristen was quick to respond and tried to get video footage but was unable to. I would not recommend bringing a car.,2023-02,-0.4618,531,1,0.0,-1,Fake,Weak Negative
319894,713919343,2020-12-06,189359518,Coral,"It’s a cute house, but there are several things that subtracted from the stay. The house is right next to a construction site and train tracks, so it was a bit noisy. In addition, there’s no living room on the main floor. Lastly, there’s an odd amount of pictures and personal belongings scattered around the house from the owner.",2020-12,-0.7003,330,1,0.0,-1,Fake,Strong Negative
319894,770161512,2021-06-13,134597259,Mikheil,The place was nice . Just the air upstairs went out so we were hot up stairs . Was told about partial refund for it still waiting on it. The house is nice but the neighbors cry about anything we had motorcycles and they said keep it down like all we did was start them up to take them off the trailer . I really think they were just racist because the neighbors were playing loud music all night and nobody said anything about that. The house is clean but a lot of bugs crickets etc in the area that do get in the house not like roaches or ants but just outside bugs.,2021-06,-0.3643,567,2,0.0,-1,Fake,Weak Negative
319894,734096803924317191,2022-10-09,151458099,Adrian,"Trendy house with plenty of space and a lovely fire pit. It would probably benefit from more seating options, especially in the kitchen area. Unfortunately, there was no hot water during our stay, which forced us to take cold showers.",2022-10,-0.296,234,3,0.0,-1,Fake,Weak Negative
319894,749348257733813165,2022-10-30,428153487,Alexis,"Would recommend this stay for sure! The house looks just like the pictures, if not better! Super cute and spacious, and has all the amenities you need!",2022-10,-0.3834,151,2,0.0,-1,Fake,Weak Negative
